NCAA,Rich Kern,Volleymetrics,Conference_2019,Conference_2020
A&M-Corpus Christi,Texas A&M-Corpus Christi,Texas A&M University-Corpus Christi,Southland,Southland
Abilene Christian,Abilene Christian,Abilene Christian University,Southland,Southland
Air Force,Air Force,U.S. Air Force Academy,Mountain West,Mountain West
Akron,Akron,University of Akron,Mid-American,MAC
Alabama,Alabama,University of Alabama,Southeastern,SEC
Alabama A&M,Alabama A&M,Alabama A&M University,Southwestern Athletic,SWAC
Alabama St.,Alabama State,Alabama State University,Southwestern Athletic,SWAC
Albany (NY),Albany,University at Albany,America East,America East
Alcorn,Alcorn State,Alcorn State University,Southwestern Athletic,SWAC
American,American,American University,Patriot,Patriot
App State,Appalachian State,Appalachian State University,Sun Belt,Sun Belt
Arizona,Arizona,University of Arizona,Pac-12,Pac-12
Arizona St.,Arizona State,Arizona State University,Pac-12,Pac-12
Ark.-Pine Bluff,Arkansas-Pine Bluff,"University of Arkansas, Pine Bluff",Southwestern Athletic,SWAC
Arkansas,Arkansas,University of Arkansas,Southeastern,SEC
Arkansas St.,Arkansas State,Arkansas State University,Sun Belt,Sun Belt
Army West Point,Army,U.S. Military Academy,Patriot,Patriot
Auburn,Auburn,Auburn University,Southeastern,SEC
Austin Peay,Austin Peay,Austin Peay State University,Ohio Valley,OVC
Ball St.,Ball State,Ball State University,Mid-American,MAC
Baylor,Baylor,Baylor University,Big 12,Big 12
Belmont,Belmont,Belmont University,Ohio Valley,OVC
Bethune-Cookman,Bethune-Cookman,Bethune-Cookman University,Mid-Eastern Athletic,MEAC
Binghamton,Binghamton,Binghamton University,America East,America East
Boise State,Boise State,Boise State University,Mountain West,Mountain West
Boston College,Boston College,Boston College,Atlantic Coast,ACC
Bowling Green,Bowling Green,Bowling Green State University,Mid-American,MAC
Bradley,Bradley,Bradley University,Missouri Valley,MVC
Brown,Brown,Brown University,Ivy League,Ivy League
Bryant,Bryant,Bryant University,Northeast,NEC
Bucknell,Bucknell,Bucknell University,Patriot,Patriot
Buffalo,Buffalo,University at Buffalo,Mid-American,MAC
Butler,Butler,Butler University,Big East,Big East
BYU,BYU,Brigham Young University,West Coast,WCC
Cal Poly,Cal Poly,California Polytechnic State University,Big West,Big West
Cal St. Fullerton,Cal State Fullerton,"California State University, Fullerton",Big West,Big West
California,Cal,"University of California, Berkeley",Pac-12,Pac-12
California Baptist,Cal Baptist,California Baptist University,#N/A,WAC
Campbell,Campbell,Campbell University,Big South,Big South
Canisius,Canisius,Canisius College,Metro Atlantic Athletic,MAAC
Central Ark.,Central Arkansas,University of Central Arkansas,Southland,Southland
Central Conn. St.,Central Connecticut State,Central Connecticut State University,Northeast,NEC
Central Mich.,Central Michigan,Central Michigan University,Mid-American,MAC
Charleston So.,Charleston Southern,Charleston Southern University,Big South,Big South
