,OI,ON,OO,OW,TI,TN,TO,TW
Intercept,2.058594929,-15.62154995,-0.478556623,2.136913787,7.381597214,-2.418134782,-2.961637517,0
systemOut of System,1.123063994,-0.333562963,1.485031405,-0.476267048,-8.24252506,0.403640799,8.11962307,0
set_zoneBL,0.698602595,14.0091021,0.513547653,0.221929416,0.030948823,1.454962638,0.159688119,0
set_zoneBR,0.674515743,14.34463149,0.624807524,0.078212058,-0.439754421,0.405932223,-0.034959763,0
set_zoneFC,-0.629882598,13.04282066,0.458236919,0.554311024,-0.536271002,0.268834276,0.764461332,0
set_zoneFL,-0.217069766,13.7187286,0.547283215,0.316856488,-1.253076848,0.598786549,0.151366614,0
set_zoneFR,-0.350914825,12.61546855,0.557218817,0.369413014,-0.873649716,0.747921247,0.223016227,0
set_zoneMC,0.183211158,14.54341844,0.954562229,1.148369073,0.278827622,0.748696259,1.869368607,0
set_zoneML,-0.241003182,-0.895940096,0.0482051,-0.079138241,-1.08645154,0.299176813,0.354873039,0
set_zoneMR,0.651974085,13.75920699,0.997811932,0.970428882,-0.022577049,0.616945803,1.114822576,0
set_zoneUN,13.12438489,15.5566036,-1.271856875,14.80319981,-11.60436997,1.666101308,16.68138301,0
