,OI,ON,OO,OW,TI,TN,TO,TW
Intercept,1.124294242,-12.97533286,0.593676385,1.184551419,-1.454898429,-1.827625555,-11.60959552,0
systemOut of System,0.618096051,0.222967491,0.368168605,0.272791862,0.113466995,0.280782877,0.226945523,0
blockersnone,1.061664952,-0.115247655,0.379690119,0.264034352,0.10096694,0.387646884,-1.279099634,0
blockersseam,-0.310840269,-0.216843254,-0.245082496,-0.223253792,-0.176540744,-0.109522054,-0.302292779,0
blockerssolo,0.108878378,-0.156819767,0.003024914,-0.075890295,-0.1205241,0.019917913,-0.416079075,0
blockerstriple,-0.403864556,0.196660647,-0.167583647,-0.00718619,-0.121236612,-0.235147578,0.235936452,0
blockersunknown,0.793853732,0.396411468,0.340724373,-0.628346599,0.237522256,0.240106627,-0.189321338,0
attack_start_zoneZone 2,-1.537596249,9.816161755,-0.929081,-1.642825451,-0.187381413,-0.848078098,9.807695375,0
attack_start_zoneZone 3,-1.731587905,10.05963909,-0.947518258,-1.791468346,-0.150949445,-1.013734248,9.875853024,0
attack_start_zoneZone 4,-1.53992702,9.727180502,-0.919417766,-1.655385297,-0.101522371,-0.921707692,9.661011625,0
attack_start_zoneZone 7,-0.61580422,10.11142368,-0.696893994,-1.004028162,0.011475073,-0.801482975,9.689784654,0
attack_start_zoneZone 8,-1.163640388,9.654827315,-0.534810613,-1.280144306,0.055047769,-0.750442773,9.607926094,0
attack_start_zoneZone 9,-1.154343911,9.875162194,-0.623418497,-1.233472974,-0.020645767,-0.771654461,9.472550511,0
set_zoneBL,0.187380198,0.157872851,-0.038088582,-0.004843485,-0.40944752,0.141438704,-0.007481202,0
set_zoneBR,0.058318703,-0.292603956,-0.06570463,0.061686,-0.263994776,0.095166061,-0.239416598,0
set_zoneFC,-0.795896133,-0.34658483,-0.519817123,-0.468486597,-0.307525842,-0.397407122,-0.264966499,0
set_zoneFL,-0.361124094,-0.024358732,-0.267868675,-0.23950845,-0.207519365,-0.118536138,0.078471374,0
set_zoneFR,-0.643499434,-0.178049538,-0.40219449,-0.391597723,-0.231575819,-0.297743344,-0.243193965,0
set_zoneMC,-0.494668368,-0.231859403,-0.285021194,-0.293624141,-0.158430182,-0.276646437,-0.201482924,0
set_zoneML,-0.225124191,-0.452135824,-0.174192055,-0.22052954,-0.221285642,-0.274025569,-0.169671251,0
set_zoneMR,-0.270303669,-0.105966043,-0.158641479,-0.20209004,-0.094803998,-0.28071796,-0.246692432,0
set_zoneUN,1.223496931,-23.70904054,0.022730923,0.904053527,-0.816613408,0.380779717,-1.47363694,0
